,0
naphthenes,0.5644077594965018
diffusely,0.6959309517979104
secondly,0.6959309517979104
15-pentane,0.5644077594965018
yellow,0.6707322611070963
narcotic,0.5644077594965018
four,0.7099918688702092
dissolvesdisperses,0.6959309517979104
circuitry,0.7099918688702092
coolingheating,0.5644077594965018
telomer,0.6959309517979104
andfin,0.5644077594965018
centimeter,0.6959309517979104
localized,0.5644077594965018
35-dimethyl-1-pyrazole,0.5644077594965018
hingedly,0.6838051560991389
current-supply,0.6959309517979104
electricity,0.6959309517979104
000048,0.7542441494681936
differencecalculating,0.5644077594965018
wellheadmounting,0.5644077594965018
non-bonded,0.6959309517979104
therethough,0.6838051560991389
enginechanging,0.5644077594965018
catalyststhe,0.5644077594965018
sputter,0.6959309517979104
inwards,0.5644077594965018
frame-mounted,0.5644077594965018
airfuel,0.5644077594965018
time-variable,0.5644077594965018
swivel,0.6707322611070963
hormone,0.6838051560991389
non-aryl,0.5644077594965018
co-operation,0.5644077594965018
read-out,0.5644077594965018
propane,0.5644077594965018
dynamic,0.5644077594965018
differently,0.6959309517979104
comprisng,0.7060686817400359
pigment,0.6959309517979104
andseparating,0.5644077594965018
handling,0.5644077594965018
alonganother,0.5644077594965018
seosub2,0.6959309517979104
nonperpendicular,0.5644077594965018
bringing,0.7110928591682006
lactone,0.5644077594965018
internally,0.5644077594965018
prize,0.6959309517979104
enginesecond,0.6959309517979104
wooden,0.6707322611070963
-00134469,0.7538125636737808
viable,0.5644077594965018
martensitic,0.5644077594965018
nmr,0.7394066536709609
succession,0.6959309517979104
ultra-violet,0.5644077594965018
reliable,0.5644077594965018
andadjusting,0.5644077594965018
pumppsubws,0.6707322611070963
ornamental,0.5644077594965018
bill,0.7380400254790959
temperataure,0.5644077594965018
incremented,0.6959309517979104
miller,0.6959309517979104
hanging,0.5644077594965018
007,0.7542441494681936
scraper,0.5644077594965018
pulse,0.6959309517979104
271,0.7538125636737808
second,0.6959309517979104
275,0.7644134481505303
pulss,0.7060686817400359
279,0.7596771400070208
tether,0.6838051560991389
sterile,0.6959309517979104
andreversing,0.5644077594965018
positional-resolution-improving,0.5644077594965018
semicircular,0.5644077594965018
sulfinyl,0.7099918688702092
pre-tensioned,0.6959309517979104
006,0.7542441494681936
cooking,0.7054453164218419
reactionxsubx,0.5644077594965018
positiondoor,0.7060686817400359
zonea,0.5644077594965018
ratesaid,0.5644077594965018
frustoconical,0.5644077594965018
fossil,0.7490464091317415
housingangular,0.5644077594965018
resilient,0.6959309517979104
numeral,0.5644077594965018
andplating,0.5644077594965018
piecesb,0.6959309517979104
00550395,0.7542441494681936
analog-message,0.5644077594965018
indexable,0.5644077594965018
diskssaid,0.5644077594965018
l-methionyl-l-glutamyl-l-histidyl-l-phenylalanyl-d-lysyl-l-phenyl,0.5644077594965018
interrupting,0.6959309517979104
anddelay,0.5644077594965018
snells,0.6959309517979104
acidn-ethyl-4-,0.5644077594965018
apparatusmeans,0.5644077594965018
chassis,0.5644077594965018
delatch,0.5644077594965018
platformguide,0.5644077594965018
crankshaft,0.5644077594965018
-00240,0.7542441494681936
aminoalkyl,0.5644077594965018
separation,0.5644077594965018
perfluoroalkyl,0.5644077594965018
cyclical,0.5644077594965018
substance,0.5644077594965018
iodides,0.6959309517979104
ofstoring,0.7110928591682006
androtary,0.5644077594965018
k,0.7054453164218419
anddelaying,0.5644077594965018
thiophenyl,0.6838051560991389
deltattsub1,0.5644077594965018
symmetrical,0.5644077594965018
catalyzed,0.5644077594965018
cancellation,0.5644077594965018
rlx,0.7509222206884485
interferon,0.6959309517979104
appropriately,0.5644077594965018
alsub02,0.5644077594965018
monosubstituted,0.6959309517979104
projection,0.6959309517979104
9n,0.7394066536709609
pre-tilt,0.6959309517979104
interfit,0.6959309517979104
dgmin,0.7110928591682006
koji,0.7017265559360211
replace,0.5644077594965018
copper-stabilized,0.5644077594965018
hsub4,0.6838051560991389
pound,0.7060686817400359
dialkali,0.5644077594965018
liquidcooling,0.5596236561881638
2-ethylamine,0.5644077594965018
benzopyrone,0.6959309517979104
057,0.7542441494681936
050,0.7542441494681936
grippable,0.5644077594965018
unit,0.7099918688702092
