,0
ksub31,0.6870376875340332
ksub32,0.6870376875340332
localizer,0.5313073951977139
binsb,0.7077379729511184
meansiii,0.5313073951977139
yellow,0.6520541549615326
four,0.7028348544171953
andregister,0.5313073951977139
circuitry,0.7028348544171953
paralleleach,0.5313073951977139
hanging,0.5313073951977139
atmospheredetecting,0.5313073951977139
centimeter,0.7077379729511184
positivepauly,0.5313073951977139
hingedly,0.6664159834968728
electricity,0.7077379729511184
nonmonomeric,0.7077379729511184
unseating,0.5313073951977139
plurity,0.665036157915318
4-flavylium,0.5313073951977139
aforesaidwithdrawing,0.5313073951977139
crossbar,0.5313073951977139
sputter,0.665036157915318
inwards,0.5313073951977139
patientinserting,0.5313073951977139
wellhook,0.6520541549615326
sinking,0.6870376875340332
10sup-sup6,0.665036157915318
10sup-sup7,0.665036157915318
shielding,0.6664159834968728
sub4subn,0.7028348544171953
read-out,0.5313073951977139
propane,0.5313073951977139
electromagnetsiv,0.5313073951977139
differently,0.7077379729511184
pigment,0.665036157915318
reciprocative,0.5313073951977139
lignite,0.7077379729511184
hydrolyzate,0.5313073951977139
bolting,0.7077379729511184
colophony,0.665036157915318
bringing,0.7077379729511184
polyacrylamide,0.5313073951977139
differentiated,0.5313073951977139
internally,0.5313073951977139
stadia,0.5313073951977139
2said,0.5313073951977139
fritted,0.7077379729511184
44-bis-22-dimethyl-triphenylmethane,0.5313073951977139
sodium-to-carbon,0.5313073951977139
chloridefurther,0.6664159834968728
succession,0.7028348544171953
ultra-violet,0.5313073951977139
precursor,0.665036157915318
andadjusting,0.5313073951977139
perhydroazepine,0.5313073951977139
ornamental,0.5313073951977139
incremented,0.7077379729511184
miller,0.7077379729511184
0050,0.7613306683064702
scraper,0.5313073951977139
pulse,0.665036157915318
270,0.7640747844602944
271,0.7640747844602944
second,0.7253429316598208
273,0.7639454880258238
274,0.7640747844602944
275,0.7613306683064702
276,0.7640747844602944
tether,0.6664159834968728
sterile,0.7077379729511184
therethroughmixing,0.6664159834968728
flask,0.5313073951977139
105000,0.7613306683064702
str111,0.7102913468316912
gearsthe,0.5313073951977139
cooking,0.6870376875340332
mrads,0.5313073951977139
spc7wherein,0.6520541549615326
frustoconical,0.5313073951977139
14-polybutadiene,0.5313073951977139
resilient,0.7077379729511184
numeral,0.5313073951977139
increasing,0.5313073951977139
planedriver,0.5313073951977139
2-methyl-3-butene-2-ol,0.6664159834968728
sugh,0.6664159834968728
passesfrom,0.5313073951977139
interrupting,0.665036157915318
atoms,0.5313073951977139
herz,0.6664159834968728
n-vinyl,0.6899940569008036
events-monitoring,0.6899940569008036
fielddetermining,0.7077379729511184
substance,0.5313073951977139
004,0.7816626918472691
k,0.6870376875340332
bactericidally,0.5313073951977139
annularly-extending,0.5313073951977139
5-100ohsup-,0.665036157915318
cmsup-sup1,0.665036157915318
lade,0.5313073951977139
symmetrical,0.5313073951977139
chlorophosphate,0.5313073951977139
cancellation,0.5313073951977139
contractility,0.5313073951977139
divide,0.6899940569008036
top-of-stack,0.5313073951977139
chloride-sulfosalicylic,0.5313073951977139
interfit,0.7077379729511184
900degree,0.7102913468316912
replace,0.5313073951977139
pound,0.665036157915318
stern,0.7102913468316912
055,0.7613306683064702
outdoors,0.7028348544171953
050,0.7613306683064702
051,0.7613306683064702
unit,0.7028348544171953
spoke,0.665036157915318
reticulate,0.5313073951977139
e1,0.7346241841378132
elementssaid,0.5313073951977139
isoprene,0.665036157915318
andsecuring,0.5313073951977139
high-gain,0.5313073951977139
degreesa,0.5313073951977139
therefora,0.5313073951977139
therefore,0.6664159834968728
receiversi,0.6899940569008036
strike,0.6870376875340332
npsub1,0.665036157915318
columnsand,0.5313073951977139
periodtemporary,0.5313073951977139
windshield,0.6520541549615326
zig-zag,0.5313073951977139
two-point-make,0.5313073951977139
relay,0.5313073951977139
desalt,0.5313073951977139
positionsb,0.665036157915318
palmitate,0.5313073951977139
hereby,0.6664159834968728
05b,0.7499773073692837
99,0.8178779186518896
glass,0.5313073951977139
tightenable,0.5313073951977139
reversible,0.6899940569008036
angulate,0.5313073951977139
91,0.7850989719007672
serially,0.5313073951977139
hole,0.6664159834968728
hold,0.6664159834968728
95,0.7613306683064702
obturation,0.5313073951977139
97,0.7765930811364922
96,0.7815049009367706
intake,0.5313073951977139
organopolysiloxane,0.5313073951977139
locked,0.6870376875340332
temperaturea,0.5313073951977139
blade,0.5313073951977139
straddle,0.5313073951977139
